Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-hzku,randomiser-fj1y,Question Key,Response
11,1571755151025,22/10/2019 14:39:11,1571755150861,1,22/10/2019 15:39:10,10353,4,questionnaire-kcu3,,3226498,5d9f7c84d8034b0016b65d29,895627,,complete,,5daf141d8df32d001210acc2,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,,consent form,8,eligible,1,END QUESTIONNAIRE,90277
1,1571755402393,22/10/2019 14:43:22,1571755431502,-7,22/10/2019 07:43:51,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1366x663,,consent form,8,eligible,2,BEGIN QUESTIONNAIRE,
2,1571755425978,22/10/2019 14:43:45,1571755455043,-7,22/10/2019 07:44:15,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1349x663,,consent form,8,eligible,2,eligibility,Yes
3,1571755426219,22/10/2019 14:43:46,1571755455048,-7,22/10/2019 07:44:15,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1349x663,,consent form,8,eligible,2,eligibility-quantised,1
4,1571755426219,22/10/2019 14:43:46,1571755455049,-7,22/10/2019 07:44:15,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1349x663,,consent form,8,eligible,2,consent_questions-1,I have read the information above and understand what the study involves.
5,1571755426219,22/10/2019 14:43:46,1571755455051,-7,22/10/2019 07:44:15,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1349x663,,consent form,8,eligible,2,consent_questions-2,I agree that the research project named above has been explained to me to my satisfaction and I agree to take part in this study.
6,1571755426219,22/10/2019 14:43:46,1571755455052,-7,22/10/2019 07:44:15,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1349x663,,consent form,8,eligible,2,consent_questions-3,I understand the inclusion and exclusion criteria in the Information Sheet and as explained to me by the researcher. I confirm that I do not fall under the exclusion criteria.
7,1571755426219,22/10/2019 14:43:46,1571755455053,-7,22/10/2019 07:44:15,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1349x663,,consent form,8,eligible,2,consent_questions-4,I consent to the processing of my personal information (e.g. User Id) for the purposes of this research study and to link studies within this lab. I understand that such information will remain confidential and will be handled in accordance will all applicable data protection legislation and ethical standards in research. These data will only be accessible to the study team and individuals from the University and Funder who are responsible for monitoring and audits.
8,1571755426219,22/10/2019 14:43:46,1571755455053,-7,22/10/2019 07:44:15,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1349x663,,consent form,8,eligible,2,consent_questions-5,I understand that I am free to withdraw from this study at any time without giving a reason and this will not affect my future medical care or legal rights.
9,1571755426219,22/10/2019 14:43:46,1571755455054,-7,22/10/2019 07:44:15,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1349x663,,consent form,8,eligible,2,consent_questions-6,I understand the potential benefits and risks of participating the support available to me should I become distressed during the research and who to contact if I wish to lodge a complaint.
10,1571755426219,22/10/2019 14:43:46,1571755455055,-7,22/10/2019 07:44:15,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1349x663,,consent form,8,eligible,2,consent_questions-7,I understand that my anonymised/pseudonymised personal data can be shared with others for future research shared in public databases and in scientific reports.
11,1571755426219,22/10/2019 14:43:46,1571755455056,-7,22/10/2019 07:44:15,10353,4,questionnaire-kcu3,,3226574,5da51a8bf0302100136151d8,895643,,complete,,5daf1579b6f30f0011a5ed27,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1366x768,1349x663,,consent form,8,eligible,2,END QUESTIONNAIRE,23554
1,1571755436661,22/10/2019 14:43:56,1571755437764,1,22/10/2019 15:43:57,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1280x578,,consent form,8,eligible,2,BEGIN QUESTIONNAIRE,
2,1571755483450,22/10/2019 14:44:43,1571755484602,1,22/10/2019 15:44:44,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1263x578,,consent form,8,eligible,2,eligibility,Yes
3,1571755483669,22/10/2019 14:44:43,1571755484607,1,22/10/2019 15:44:44,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1263x578,,consent form,8,eligible,2,eligibility-quantised,1
4,1571755483669,22/10/2019 14:44:43,1571755484608,1,22/10/2019 15:44:44,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1263x578,,consent form,8,eligible,2,consent_questions-1,I have read the information above and understand what the study involves.
5,1571755483669,22/10/2019 14:44:43,1571755484608,1,22/10/2019 15:44:44,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1263x578,,consent form,8,eligible,2,consent_questions-2,I agree that the research project named above has been explained to me to my satisfaction and I agree to take part in this study.
6,1571755483669,22/10/2019 14:44:43,1571755484609,1,22/10/2019 15:44:44,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1263x578,,consent form,8,eligible,2,consent_questions-3,I understand the inclusion and exclusion criteria in the Information Sheet and as explained to me by the researcher. I confirm that I do not fall under the exclusion criteria.
7,1571755483669,22/10/2019 14:44:43,1571755484609,1,22/10/2019 15:44:44,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1263x578,,consent form,8,eligible,2,consent_questions-4,I consent to the processing of my personal information (e.g. User Id) for the purposes of this research study and to link studies within this lab. I understand that such information will remain confidential and will be handled in accordance will all applicable data protection legislation and ethical standards in research. These data will only be accessible to the study team and individuals from the University and Funder who are responsible for monitoring and audits.
8,1571755483669,22/10/2019 14:44:43,1571755484609,1,22/10/2019 15:44:44,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1263x578,,consent form,8,eligible,2,consent_questions-5,I understand that I am free to withdraw from this study at any time without giving a reason and this will not affect my future medical care or legal rights.
9,1571755483669,22/10/2019 14:44:43,1571755484610,1,22/10/2019 15:44:44,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1263x578,,consent form,8,eligible,2,consent_questions-6,I understand the potential benefits and risks of participating the support available to me should I become distressed during the research and who to contact if I wish to lodge a complaint.
10,1571755483669,22/10/2019 14:44:43,1571755484610,1,22/10/2019 15:44:44,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1263x578,,consent form,8,eligible,2,consent_questions-7,I understand that my anonymised/pseudonymised personal data can be shared with others for future research shared in public databases and in scientific reports.
11,1571755483669,22/10/2019 14:44:43,1571755484611,1,22/10/2019 15:44:44,10353,4,questionnaire-kcu3,,3226583,5cfe56e557dbb4001520553d,895645,,complete,,5daf157119813900165f53f3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1280x720,1263x578,,consent form,8,eligible,2,END QUESTIONNAIRE,46847
1,1571755447470,22/10/2019 14:44:07,1571755447471,1,22/10/2019 15:44:07,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1536x754,,consent form,8,eligible,1,BEGIN QUESTIONNAIRE,
2,1571755479553,22/10/2019 14:44:39,1571755479664,1,22/10/2019 15:44:39,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x754,,consent form,8,eligible,1,eligibility,Yes
3,1571755479631,22/10/2019 14:44:39,1571755479665,1,22/10/2019 15:44:39,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x754,,consent form,8,eligible,1,eligibility-quantised,1
4,1571755479631,22/10/2019 14:44:39,1571755479666,1,22/10/2019 15:44:39,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x754,,consent form,8,eligible,1,consent_questions-1,I have read the information above and understand what the study involves.
5,1571755479631,22/10/2019 14:44:39,1571755479666,1,22/10/2019 15:44:39,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x754,,consent form,8,eligible,1,consent_questions-2,I agree that the research project named above has been explained to me to my satisfaction and I agree to take part in this study.
6,1571755479631,22/10/2019 14:44:39,1571755479666,1,22/10/2019 15:44:39,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x754,,consent form,8,eligible,1,consent_questions-3,I understand the inclusion and exclusion criteria in the Information Sheet and as explained to me by the researcher. I confirm that I do not fall under the exclusion criteria.
7,1571755479631,22/10/2019 14:44:39,1571755479666,1,22/10/2019 15:44:39,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x754,,consent form,8,eligible,1,consent_questions-4,I consent to the processing of my personal information (e.g. User Id) for the purposes of this research study and to link studies within this lab. I understand that such information will remain confidential and will be handled in accordance will all applicable data protection legislation and ethical standards in research. These data will only be accessible to the study team and individuals from the University and Funder who are responsible for monitoring and audits.
8,1571755479631,22/10/2019 14:44:39,1571755479666,1,22/10/2019 15:44:39,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x754,,consent form,8,eligible,1,consent_questions-5,I understand that I am free to withdraw from this study at any time without giving a reason and this will not affect my future medical care or legal rights.
9,1571755479631,22/10/2019 14:44:39,1571755479666,1,22/10/2019 15:44:39,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x754,,consent form,8,eligible,1,consent_questions-6,I understand the potential benefits and risks of participating the support available to me should I become distressed during the research and who to contact if I wish to lodge a complaint.
10,1571755479631,22/10/2019 14:44:39,1571755479667,1,22/10/2019 15:44:39,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x754,,consent form,8,eligible,1,consent_questions-7,I understand that my anonymised/pseudonymised personal data can be shared with others for future research shared in public databases and in scientific reports.
11,1571755479631,22/10/2019 14:44:39,1571755479667,1,22/10/2019 15:44:39,10353,4,questionnaire-kcu3,,3226586,5da1b299de4ab0001989e3ff,895646,,complete,,5daf15aecc409a0014d4fdd3,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1536x864,1519x754,,consent form,8,eligible,1,END QUESTIONNAIRE,32196
1,1571755625147,22/10/2019 14:47:05,1571755617040,-4,22/10/2019 10:46:57,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1600x757,,consent form,8,eligible,1,BEGIN QUESTIONNAIRE,
2,1571755752893,22/10/2019 14:49:12,1571755744854,-4,22/10/2019 10:49:04,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1583x757,,consent form,8,eligible,1,eligibility,Yes
3,1571755753018,22/10/2019 14:49:13,1571755744857,-4,22/10/2019 10:49:04,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1583x757,,consent form,8,eligible,1,eligibility-quantised,1
4,1571755753018,22/10/2019 14:49:13,1571755744857,-4,22/10/2019 10:49:04,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1583x757,,consent form,8,eligible,1,consent_questions-1,I have read the information above and understand what the study involves.
5,1571755753018,22/10/2019 14:49:13,1571755744857,-4,22/10/2019 10:49:04,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1583x757,,consent form,8,eligible,1,consent_questions-2,I agree that the research project named above has been explained to me to my satisfaction and I agree to take part in this study.
6,1571755753018,22/10/2019 14:49:13,1571755744858,-4,22/10/2019 10:49:04,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1583x757,,consent form,8,eligible,1,consent_questions-3,I understand the inclusion and exclusion criteria in the Information Sheet and as explained to me by the researcher. I confirm that I do not fall under the exclusion criteria.
7,1571755753018,22/10/2019 14:49:13,1571755744858,-4,22/10/2019 10:49:04,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1583x757,,consent form,8,eligible,1,consent_questions-4,I consent to the processing of my personal information (e.g. User Id) for the purposes of this research study and to link studies within this lab. I understand that such information will remain confidential and will be handled in accordance will all applicable data protection legislation and ethical standards in research. These data will only be accessible to the study team and individuals from the University and Funder who are responsible for monitoring and audits.
8,1571755753018,22/10/2019 14:49:13,1571755744858,-4,22/10/2019 10:49:04,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1583x757,,consent form,8,eligible,1,consent_questions-5,I understand that I am free to withdraw from this study at any time without giving a reason and this will not affect my future medical care or legal rights.
9,1571755753018,22/10/2019 14:49:13,1571755744859,-4,22/10/2019 10:49:04,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1583x757,,consent form,8,eligible,1,consent_questions-6,I understand the potential benefits and risks of participating the support available to me should I become distressed during the research and who to contact if I wish to lodge a complaint.
10,1571755753018,22/10/2019 14:49:13,1571755744859,-4,22/10/2019 10:49:04,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1583x757,,consent form,8,eligible,1,consent_questions-7,I understand that my anonymised/pseudonymised personal data can be shared with others for future research shared in public databases and in scientific reports.
11,1571755753018,22/10/2019 14:49:13,1571755744859,-4,22/10/2019 10:49:04,10353,4,questionnaire-kcu3,,3226627,5cd1bd99447a9a001785f38f,895659,,complete,,5daf1438028c550017706eaf,computer,Desktop or Laptop,Windows 7,Chrome 77.0.3865.120,1600x900,1583x757,,consent form,8,eligible,1,END QUESTIONNAIRE,127819
1,1571755648072,22/10/2019 14:47:28,1571755647710,1,22/10/2019 15:47:27,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,BEGIN QUESTIONNAIRE,
2,1571755677807,22/10/2019 14:47:57,1571755677571,1,22/10/2019 15:47:57,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,eligibility,Yes
3,1571755677885,22/10/2019 14:47:57,1571755677576,1,22/10/2019 15:47:57,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,eligibility-quantised,1
4,1571755677885,22/10/2019 14:47:57,1571755677577,1,22/10/2019 15:47:57,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,consent_questions-1,I have read the information above and understand what the study involves.
5,1571755677885,22/10/2019 14:47:57,1571755677578,1,22/10/2019 15:47:57,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,consent_questions-2,I agree that the research project named above has been explained to me to my satisfaction and I agree to take part in this study.
6,1571755677885,22/10/2019 14:47:57,1571755677578,1,22/10/2019 15:47:57,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,consent_questions-3,I understand the inclusion and exclusion criteria in the Information Sheet and as explained to me by the researcher. I confirm that I do not fall under the exclusion criteria.
7,1571755677885,22/10/2019 14:47:57,1571755677579,1,22/10/2019 15:47:57,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,consent_questions-4,I consent to the processing of my personal information (e.g. User Id) for the purposes of this research study and to link studies within this lab. I understand that such information will remain confidential and will be handled in accordance will all applicable data protection legislation and ethical standards in research. These data will only be accessible to the study team and individuals from the University and Funder who are responsible for monitoring and audits.
8,1571755677885,22/10/2019 14:47:57,1571755677579,1,22/10/2019 15:47:57,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,consent_questions-5,I understand that I am free to withdraw from this study at any time without giving a reason and this will not affect my future medical care or legal rights.
9,1571755677885,22/10/2019 14:47:57,1571755677580,1,22/10/2019 15:47:57,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,consent_questions-6,I understand the potential benefits and risks of participating the support available to me should I become distressed during the research and who to contact if I wish to lodge a complaint.
10,1571755677885,22/10/2019 14:47:57,1571755677581,1,22/10/2019 15:47:57,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,consent_questions-7,I understand that my anonymised/pseudonymised personal data can be shared with others for future research shared in public databases and in scientific reports.
11,1571755677885,22/10/2019 14:47:57,1571755677581,1,22/10/2019 15:47:57,10353,4,questionnaire-kcu3,,3226631,5da09eda8a47e500148b64ea,895661,,complete,,5daf16707d039a00179099cd,computer,Desktop or Laptop,Chromium OS 12239.92.0,Chrome 76.0.3809.136,1366x768,1366x641,,consent form,8,eligible,2,END QUESTIONNAIRE,29871
